index,Article Title,Date,Authors,Journal,Study Type,Keywords,DOI,Abstract,Topic of interest,Score,Match
25,A serious game for children with Attention Deficit Hyperactivity Disorder: Who benefits the most?,2018,"Bul KCM, Doove LL, Franken IHA, Oord SV, Kato PM, Maras A",PloS one,"Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0193681,"OBJECTIVE: The aim of the current study was to identify which subgroups of children with Attention Deficit Hyperactivity Disorder (ADHD) benefitted the most from playing a Serious Game (SG) intervention shown in a randomized trial to improve behavioral outcomes. METHOD: Pre-intervention characteristics [i.e., gender, age, intellectual level of functioning, medication use, computer experience, ADHD subtype, severity of inattention problems, severity of hyperactivity/impulsivity problems, comorbid Oppositional Defiant Disorder (ODD)  and Conduct Disorder (CD) symptoms] were explored as potential moderators in a Virtual Twins (VT) analysis to identify subgroups for whom the SG intervention was most effective. Primary outcome measures were parent-reported time management, planning/organizing and cooperation skills. RESULTS: Two subgroups were identified. Girls (n = 26) were identified as the subgroup that was most likely to show greater improvements in planning/organizing skills as compared to  the estimated treatment effect of the total group of participants. Furthermore, among the boys, those (n = 47) with lower baseline levels of hyperactivity and higher levels of CD symptoms showed more improvements in their planning/organizing skills when they played the SG intervention as compared to the estimated treatment effect of the total group of participants. CONCLUSION: Using a VT analysis two subgroups of children with ADHD, girls, and boys with both higher levels of CD and lower levels of hyperactivity, were identified. These subgroups mostly benefit from playing the SG intervention developed to improve ADHD related behavioral problems. Our results imply that these subgroups  have a higher chance of treatment success.",treatment,0.49944873208379265,1
26,A double-blind randomized pilot trial comparing computerized cognitive exercises  to Tetris in adolescents with attention-deficit/hyperactivity disorder.,2017 Aug,"Bikic A, Christensen TO, Leckman JF, Bilenberg N, Dalsgaard S",Nordic journal of psychiatry,"Comparative Study, Journal Article, Randomized Controlled Trial","ADHD, CANTAB, Tetris, cognitive training, working memory training",https://doi.org/10.1080/08039488.2017.1328070,"BACKGROUND: The purpose of this trial was to examine the feasibility and efficacy of computerized cognitive exercises from Scientific Brain Training (SBT), compared to the computer game Tetris as an active placebo, in a pilot study of adolescents with attention-deficit/hyperactivity disorder (ADHD). METHOD: Eighteen adolescents with ADHD were randomized to treatment or control intervention for 7 weeks. Outcome measures were cognitive test, symptom, and motivation questionnaires. RESULTS: SBT and Tetris were feasible as home-based interventions, and participants' compliance was high, but participants perceived  both interventions as not very interesting or helpful. There were no significant  group differences on cognitive and ADHD-symptom measures after intervention. Pre-post intra-group measurement showed that the SBT had a significant beneficial effect on sustained attention, while the active placebo had significant beneficial effects on working memory, both with large effect sizes. CONCLUSION: Although no significant differences were found between groups on any measure, there were significant intra-group changes for each group.",treatment,0.44432194046306506,1
27,Game-based combined cognitive and neurofeedback training using Focus Pocus reduces symptom severity in children with diagnosed AD/HD and subclinical AD/HD.,2017 Jun,"Johnstone SJ, Roodenrys SJ, Johnson K, Bonfield R, Bennett SJ",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,Journal Article,"*AD/HD, *EEG, *Inhibitory control, *Neurofeedback, *Training, *Working memory",https://doi.org/10.1016/j.ijpsycho.2017.02.015,"Previous studies report reductions in symptom severity after combined working memory (WM) and inhibitory control (IC) training in children with AD/HD. Based on theoretical accounts of the role of arousal/attention modulation problems in AD/HD, the current study examined the efficacy of combined WM, IC, and neurofeedback training in children with AD/HD and subclinical AD/HD. Using a randomized waitlist control design, 85 children were randomly allocated to a training or waitlist condition and completed pre- and post-training assessments of overt behavior, trained and untrained cognitive task performance, and resting  and task-related EEG activity. The training group completed twenty-five sessions  of training using Focus Pocus software at home over a 7 to 8-week period. Trainees improved at the trained tasks, while enjoyment and engagement declined across sessions. After training, AD/HD symptom severity was reduced in the AD/HD  and subclinical groups according to parents, and in the former group only according to blinded teachers and significant-others. There were minor improvements in two of six near-transfer tasks, and evidence of far-transfer of training effects in four of five far-transfer tasks. Frontal region changes indicated normalization of atypical EEG features with reduced delta and increased alpha activity. It is concluded that technology developments provide an interesting a vehicle for delivering interventions and that, while further research is needed, combined WM, IC, and neurofeedback training can reduce AD/HD  symptom severity in children with AD/HD and may also be beneficial to children with subclinical AD/HD.",treatment,0.0,0
28,The Effects of Stimulant Medication and Training on Sports Competence Among Children With ADHD.,2019,"Altszuler AR, Morrow AS, Merrill BM, Bressler S, Macphee FL, Gnagy EM, Greiner AR, Coxe S, Raiker JS, Coles E, Pelham WE Jr","Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1080/15374416.2016.1270829,"The current study examined the relative efficacy of behavioral sports training, medication, and their combination in improving sports competence among youth with attention deficit/hyperactivity disorder (ADHD). Participants were 73 youth (74%  male; 81% Hispanic) between the ages of 5 and 12 diagnosed with Diagnostic and Statistical Manual of Mental Disorders (4th ed.) ADHD enrolled in a Summer Treatment Program (STP). The study consisted of a 2 (medication: methylphenidate, placebo) x 2 (sports training: instruction and practice, recreational play) between-groups design and was conducted over a 3-week period during the STP. Sports training was conducted with a novel sport, badminton, to limit previous sport knowledge and to differentiate it from concurrent sports training that occurred within the STP. Objective and subjective measures of sports skills, knowledge, and behavior were collected. Results indicated that, relative to recreational play, brief sports training improved observed and counselor-rated measures of sports competence including sports skills, knowledge, game awareness, effort, frustration, and enjoyment. During sports training, medication incrementally improved children's observed rule following behavior and counselor-rated sportsmanship relative to placebo. In the absence of sports training, medication improved behavior, effort, and sport knowledge. Training in  sports skills and rules produced the largest magnitude effects on sports-related  outcomes. Therefore, skills training, rather than medication alone, should be used in conjunction with behavioral intervention to teach sports to youth with ADHD. It is recommended that medication be used only as an adjunct to highly structured sports skills training for youth who display high rates of negative behavior during sports activities.",treatment,0.16868798235942667,0
29,"Disinhibition in children with attention-deficit/hyperactivity disorder: Changes  in [oxy-Hb] on near-infrared spectroscopy during ""rock, paper, scissors"" task.",2017 May,"Ishii S, Kaga Y, Tando T, Aoyagi K, Sano F, Kanemura H, Sugita K, Aihara M",Brain & development,Journal Article,"AD/HD, Disinhibition, Frontal lobe function, Near-infrared spectroscopy, Rock paper scissors task",https://doi.org/10.1016/j.braindev.2016.12.005,"OBJECTIVE: Attention-deficit/hyperactivity disorder (AD/HD) is a common developmental disorder. Many reports have suggested that symptoms of AD/HD are related to frontal lobe dysfunctions, particularly disinhibition. However, measuring neurological findings with biomarkers during frontal functional tasks has sometimes been difficult in children with AD/HD. This study aimed to investigate frontal inhibitory function objectively in children with AD/HD during ""rock, paper, scissors"" (RPS) tasks, as a familiar game for Japanese children, using near-infrared spectroscopy (NIRS). SUBJECTS AND METHODS: Eighteen children  with AD/HD were compared with 27 typically developing children (TDC). Children from each group were divided into two age groups: younger, 6-10years; and older,  11-16years. Changes in oxygenated hemoglobin [oxy-Hb] were measured in the prefrontal region using NIRS during a 'to lose' RPS task, in which subjects were  asked to present the RPS signal that would lose in response to one of the three signals displayed randomly on a computer screen every 2.0s. RESULTS: The rate of  correct performance with both TDC and AD/HD increased with age. Only in the older group, the rate of correct performance was significantly higher with TDC than with AD/HD. However, children with AD/HD in both age groups showed significantly  lower [oxy-Hb] activity in the prefrontal region during the 'to lose' RPS task, particularly in the dorsolateral area. CONCLUSIONS: Our results suggest that prefrontal region activation during the 'to lose' RPS task could offer a biomarker for diagnosing AD/HD, and may help in the early treatment of AD/HD.",treatment,0.278941565600882,1
30,A Feasibility Study on the Effectiveness of a Full-Body Videogame Intervention for Decreasing Attention Deficit Hyperactivity Disorder Symptoms.,2016 Aug,"Weerdmeester J, Cima M, Granic I, Hashemian Y, Gotsis M",Games for health journal,"Journal Article, Randomized Controlled Trial",None,https://doi.org/10.1089/g4h.2015.0103,"OBJECTIVE: The current study assessed the feasibility and effectiveness of a full-body-driven intervention videogame targeted at decreasing attention deficit  hyperactivity disorder (ADHD) symptoms, specifically inattention, hyperactivity,  impulsivity, and motor deficiency. MATERIALS AND METHODS: The game was tested in  a Dutch sample (N = 73) of school-aged children with elevated ADHD symptoms. Children assigned to the intervention condition played ""Adventurous Dreaming Highflying Dragon,"" and those in the control condition played a comparable full-body-driven game without ADHD-focused training components. Games were played during six 15-minute sessions. Outcomes were teacher-rated ADHD symptoms and scores on neuropsychological tasks assessing motor skills, impulsivity, and sustained attention. RESULTS: There was some indication of greater improvement in the intervention group in comparison to the control group in terms of teacher-rated ADHD symptoms. Both groups showed equal indication of improvement in fine motor skills, but no change was found in gross motor skills. Additionally, both groups showed a deterioration in number of hits (assessing sustained attention) on the go/no-go task. Last, the intervention group showed a  greater increase in false alarms (assessing impulsivity) than the control group.  CONCLUSION: Dragon seems promising as a game-based intervention for children with ADHD. Children who played Dragon improved in several areas with only a short amount of gameplay (1.5 hours in total), and their satisfaction with the game was high. For future research, it is recommended to further inspect Dragon's influence on impulsivity and gross motor skills. Furthermore, it is recommended to disentangle, examine, and evaluate specific properties of videogames that might lead to positive behavioral change.",treatment,0.6229327453142227,1
31,"A Randomized Controlled Trial of an Integrated Brain, Body, and Social Intervention for Children With ADHD.",2020 Mar,"Smith SD, Vitulano LA, Katsovich L, Li S, Moore C, Li F, Grantz H, Zheng X, Eicher V, Aktan Guloksuz S, Zheng Y, Dong J, Sukhodolsky DG, Leckman JF",Journal of attention disorders,"Journal Article, Randomized Controlled Trial, Research Support, N.I.H., Extramural","*ADHD, *Good Behavior Game (GBG), *computerized cognitive remediation training (CCRT), *physical exercise, *randomized controlled trial",https://doi.org/10.1177/1087054716647490,"Objective: This study evaluated the efficacy of an Integrated Brain, Body, and Social (IBBS) intervention for children with ADHD. Treatment consisted of computerized cognitive remediation training, physical exercises, and a behavior management strategy. Method: Ninety-two children aged 5 to 9 years with ADHD were randomly assigned to 15 weeks of IBBS or to treatment-as-usual. Primary outcome measures included blinded clinician ratings of ADHD symptoms and global clinical  functioning. Secondary outcome measures consisted of parent and teacher ratings of ADHD and neurocognitive tests. Results: No significant treatment effects were  found on any of our primary outcome measures. In terms of secondary outcome measures, the IBBS group showed significant improvement on a verbal working memory task; however, this result did not survive correction for multiple group comparisons. Conclusion: These results suggest that expanding cognitive training  to multiple domains by means of two training modalities does not lead to generalized improvement of ADHD symptomatology.",treatment,0.5512679162072767,1
32,Behavioral Outcome Effects of Serious Gaming as an Adjunct to Treatment for Children With Attention-Deficit/Hyperactivity Disorder: A Randomized Controlled Trial.,2016 Feb 16,"Bul KC, Kato PM, Van der Oord S, Danckaerts M, Vreeke LJ, Willems A, van Oers HJ, Van Den Heuvel R, Birnie D, Van Amelsvoort TA, Franken IH, Maras A",Journal of medical Internet research,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","ADHD, Internet, attention deficit-hyperactivity disorder, children, randomized controlled trial, serious game, treatment",https://doi.org/10.2196/jmir.5173,"BACKGROUND: The need for accessible and motivating treatment approaches within mental health has led to the development of an Internet-based serious game intervention (called ""Plan-It Commander"") as an adjunct to treatment as usual for children with attention-deficit/hyperactivity disorder (ADHD). OBJECTIVE: The aim was to determine the effects of Plan-It Commander on daily life skills of children with ADHD in a multisite randomized controlled crossover open-label trial. METHODS: Participants (N=170) in this 20-week trial had a diagnosis of ADHD and ranged in age from 8 to 12 years (male: 80.6%, 137/170; female: 19.4%, 33/170). They were randomized to a serious game intervention group (group 1; n=88) or a treatment-as-usual crossover group (group 2; n=82). Participants randomized to group 1 received a serious game intervention in addition to treatment as usual for the first 10 weeks and then received treatment as usual for the next 10 weeks. Participants randomized to group 2 received treatment as usual for the first 10 weeks and crossed over to the serious game intervention in addition to treatment as usual for the subsequent 10 weeks. Primary (parent report) and secondary (parent, teacher, and child self-report) outcome measures were administered at baseline, 10 weeks, and 10-week follow-up. RESULTS: After 10 weeks, participants in group 1 compared to group 2 achieved significantly greater improvements on the primary outcome of time management skills (parent-reported; P=.004) and on secondary outcomes of the social skill of responsibility (parent-reported; P=.04), and working memory (parent-reported; P=.02). Parents and teachers reported that total social skills improved over time within groups,  whereas effects on total social skills and teacher-reported planning/organizing skills were nonsignificant between groups. Within group 1, positive effects were  maintained or further improved in the last 10 weeks of the study. Participants in group 2, who played the serious game during the second period of the study (weeks 10 to 20), improved on comparable domains of daily life functioning over time. CONCLUSIONS: Plan-It Commander offers an effective therapeutic approach as an adjunct intervention to traditional therapeutic ADHD approaches that improve functional outcomes in daily life. TRIAL REGISTRATION: International Standard Randomized Controlled Trial Number (ISRCTN): 62056259; http://www.controlled-trials.com/ISRCTN62056259 (Archived by WebCite at http://www.webcitation.org/6eNsiTDJV).",treatment,0.7883131201764058,1
33,Clinical validation of the C-VAT 2.0 assessment tool for gaming disorder: A sensitivity analysis of the proposed DSM-5 criteria and the clinical characteristics of young patients with 'video game addiction'.,2017 Jan,"van Rooij AJ, Schoenmakers TM, van de Mheen D",Addictive behaviors,"Journal Article, Validation Study","*Adolescents, *Assessment tool, *DSM-5, *Internet gaming disorder, *Sensitivity, *Video game addiction",https://doi.org/10.1016/j.addbeh.2015.10.018,"AIMS: Clinicians struggle with the identification of video gaming problems. To address this issue, a clinical assessment tool (C-VAT 2.0) was developed and tested in a clinical setting. The instrument allows exploration of the validity of the DSM-5 proposal for 'internet gaming disorder'. METHOD: Using C-VAT 2.0, the current study provides a sensitivity analysis of the proposed DSM-5 criteria  in a clinical youth sample (13-23years old) in treatment for video gaming disorder (N=32). The study also explores the clinical characteristics of these patients. RESULTS: The patients were all male and reported spending extensive amounts of time on video games. At least half of the patients reported playing online games (n=15). Comorbid problems were common (n=22) and included (social) anxiety disorders, PDD NOS, ADHD/ADD, Parent-Child relationship problem, and various types of depressive mood problems. The sensitivity of the test was good:  results further show that the C-VAT correctly identified 91% of the sample at the proposed cut-off score of at least 5 out of 9 of the criteria. As our study did not include healthy, extreme gamers, we could not assess the specificity of the tool: future research should make this a priority. CONCLUSION: Using the proposed DSM-5 cut-off score, the C-VAT 2.0 shows preliminary validity in a sample of gamers in treatment for gaming disorder, but the discriminating value of the instrument should be studied further. In the meantime, it is crucial that therapists try to avoid false positives by using expert judgment of functional impairment in each case.",treatment,0.6328555678059536,1
34,"Development and User Satisfaction of ""Plan-It Commander,"" a Serious Game for Children with ADHD.",2015 Dec,"Bul KC, Franken IH, Van der Oord S, Kato PM, Danckaerts M, Vreeke LJ, Willems A, van Oers HJ, van den Heuvel R, van Slagmaat R, Maras A",Games for health journal,"Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1089/g4h.2015.0021,"The need for engaging treatment approaches within mental health care has led to the application of gaming approaches to existing behavioral training programs (i.e., gamification). Because children with attention deficit/hyperactivity disorder (ADHD) tend to have fewer problems with concentration and engagement when playing digital games, applying game technologies and design approaches to complement treatment may be a useful means to engage this population in their treatment. Unfortunately, gamified training programs currently available for ADHD have been limited in their ability to demonstrate in-game behavior skills that generalize to daily life situations. Therefore, we developed a new serious game (called ""Plan-It Commander"") that was specifically designed to promote behavioral learning and promotes strategy use in domains of daily life functioning such as time management, planning/organizing, and prosocial skills that are known to be problematic for children with ADHD. An interdisciplinary team contributed to the  development of the game. The game's content and approach are based on psychological principles from the Self-Regulation Model, Social Cognitive Theory, and Learning Theory. In this article, game development and the scientific background of the behavioral approach are described, as well as results of a survey (n = 42) to gather user feedback on the first prototype of the game. The findings suggest that participants were satisfied with this game and provided the basis for further development and research to the game. Implications for developing serious games and applying user feedback in game development are discussed.",treatment,0.21499448732083792,1
35,An iPad-Based Tool for Improving the Skills of Children with Attention Deficit Disorder.,2015 Jun 2,"Wronska N, Garcia-Zapirain B, Mendez-Zorrilla A",International journal of environmental research and public health,"Controlled Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't","attention deficit disorder, comprehension, iPad, serious games",https://doi.org/10.3390/ijerph120606261,"Attention Deficit Hyperactivity Disorder (ADHD), with a worldwide prevalence of 5.29%-7.1%, is one of the most common neurodevelopmental disorders among children and adolescents. Apart from typical symptoms like inattention, hyperactivity and  impulsiveness, patients also evidence attention deficit problems with reading comprehension. This in turn causes poor school performance and widens the gap with peers without ADHD. This paper presents a novel and interactive tool based on Serious Games for Health, whose aim is not only to improve comprehension, but  also hold the user's attention. This tool is geared towards assessing reading quality and is intended for iPad devices. Preliminary results obtained from the experiment performed to evaluate the game are included in this report. A group of six typically developing children from Colegio Vizcaya aged between 8 and 12 took part in the evaluation of motivation, satisfaction and usability of the same therapy in the new media. Results obtained by participants playing the game were  analysed together with questionnaires concerning the usability of the system. Game evaluation resulted in relatively good statistics-average score was 3 points out of 4 and average time for completing the exercise was 59 seconds. A SUS questionnaire with an average score of 92.75 out of 100 indicates that the game presented is user-friendly and an effective tool. Moreover, based on the feedback obtained from participants, the game had been improved and additional functionality introduced. Older participants completed the first game faster than the younger ones, but age was not influential in subsequent games.",treatment,0.412348401323043,1
36,Improving executive functioning in children with ADHD: training multiple executive functions within the context of a computer game. a randomized double-blind placebo controlled trial.,2015,"Dovis S, Van der Oord S, Wiers RW, Prins PJ",PloS one,"Journal Article, Randomized Controlled Trial",None,https://doi.org/10.1371/journal.pone.0121651,"INTRODUCTION: Executive functions (EFs) training interventions aimed at ADHD-symptom reduction have yielded mixed results. Generally, these interventions focus on training a single cognitive domain (e.g., working memory [WM], inhibition, or cognitive-flexibility). However, evidence suggests that most children with ADHD show deficits on multiple EFs, and that these EFs are largely  related to different brain regions. Therefore, training multiple EFs might be a potentially more effective strategy to reduce EF-related ADHD symptoms. METHODS:  Eighty-nine children with a clinical diagnosis of ADHD (aged 8-12) were randomized to either a full-active-condition where visuospatial WM, inhibition and cognitive-flexibility were trained, a partially-active-condition where inhibition and cognitive-flexibility were trained and the WM-training task was presented in placebo-mode, or to a full placebo-condition. Short-term and long-term (3-months) effects of this gamified, 25-session, home-based computer-training were evaluated on multiple outcome domains. RESULTS: During training compliance was high (only 3% failed to meet compliance criteria). After  training, only children in the full-active condition showed improvement on measures of visuospatial short-term-memory (STM) and WM. Inhibitory performance and interference control only improved in the full-active- and the partially-active condition. No Treatment-condition x Time interactions were found for cognitive-flexibility, verbal WM, complex-reasoning, nor for any parent-, teacher-, or child-rated ADHD behaviors, EF-behaviors, motivational behaviors, or general problem behaviors. Nonetheless, almost all measures showed main Time-effects, including the teacher-ratings. CONCLUSIONS: Improvements on inhibition and visuospatial STM and WM were specifically related to the type of treatment received. However, transfer to untrained EFs and behaviors was mostly nonspecific (i.e., only interference control improved exclusively in the two EF training conditions). As such, in this multiple EF-training, mainly nonspecific treatment factors - as opposed to the specific effects of training EFs-seem related to far transfer effects found on EF and behavior. TRIAL REGISTRATION: trialregister.nl NTR2728. Registry name: improving executive functioning in children with ADHD: training executive functions within the context of a computer game; registry number: NTR2728.",treatment,0.33737596471885334,1
37,Measurement of the effect of physical exercise on the concentration of individuals with ADHD.,2015,"Silva AP, Prado SO, Scardovelli TA, Boschi SR, Campos LC, Frere AF",PloS one,"Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0122119,"Attention Deficit Hyperactivity Disorder (ADHD) mainly affects the academic performance of children and adolescents. In addition to bringing physical and mental health benefits, physical activity has been used to prevent and improve ADHD comorbidities; however, its effectiveness has not been quantified. In this study, the effect of physical activity on children's attention was measured using a computer game. Intense physical activity was promoted by a relay race, which requires a 5-min run without a rest interval. The proposed physical stimulus was  performed with 28 volunteers: 14 with ADHD (GE-EF) and 14 without ADHD symptoms (GC-EF). After 5 min of rest, these volunteers accessed the computer game to accomplish the tasks in the shortest time possible. The computer game was also accessed by another 28 volunteers: 14 with ADHD (GE) and 14 without these symptoms (GC). The response time to solve the tasks that require attention was recorded. The results of the four groups were analyzed using D'Agostino statistical tests of normality, Kruskal-Wallis analyses of variance and post-hoc  Dunn tests. The groups of volunteers with ADHD who performed exercise (GE-EF) showed improved performance for the tasks that require attention with a difference of 30.52% compared with the volunteers with ADHD who did not perform the exercise (GE). The (GE-EF) group showed similar performance (2.5% difference) with the volunteers in the (GC) group who have no ADHD symptoms and did not exercise. This study shows that intense exercise can improve the attention of children with ADHD and may help their school performance.",treatment,0.5060639470782801,1
38,Working memory and cognitive flexibility-training for children with an autism spectrum disorder: a randomized controlled trial.,2015 May,"de Vries M, Prins PJ, Schmand BA, Geurts HM","Journal of child psychology and psychiatry, and allied disciplines","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","Executive functioning, autism, cognitive training, flexibility, working memory",https://doi.org/10.1111/jcpp.12324,"BACKGROUND: People with autism spectrum disorders (ASDs) experience executive function (EF) deficits. There is an urgent need for effective interventions, but  in spite of the increasing research focus on computerized cognitive training, this has not been studied in ASD. Hence, we investigated two EF training conditions in children with ASD. METHODS: In a randomized controlled trial, children with ASD (n = 121, 8-12 years, IQ > 80) were randomly assigned to an adaptive working memory (WM) training, an adaptive cognitive flexibility-training, or a non-adaptive control training (mock-training). Braingame Brian, a computerized EF-training with game-elements, was used. Outcome measures (pretraining, post-training, and 6-week-follow-up) were near-transfer to trained EFs, far-transfer to other EFs (sustained attention and inhibition), and  parent's ratings of daily life EFs, social behavior, attention deficit hyperactivity disorder (ADHD)-behavior, and quality of life. RESULTS: Attrition-rate was 26%. Children in all conditions who completed the training improved in WM, cognitive flexibility, attention, and on parent's ratings, but not in inhibition. There were no significant differential intervention effects, although children in the WM condition showed a trend toward improvement on near-transfer WM and ADHD-behavior, and children in the cognitive flexibility condition showed a trend toward improvement on near-transfer flexibility. CONCLUSION: Although children in the WM condition tended to improve more in WM and ADHD-behavior, the lack of differential improvement on most outcome measures, the absence of a clear effect of the adaptive training compared to the mock-training, and the high attrition rate suggest that the training in its present form is probably not suitable for children with ASD.",treatment,0.16868798235942667,0
39,Effects of a summer treatment program on functional sports outcomes in young children with ADHD.,2014 Aug,"O'Connor BC, Fabiano GA, Waschbusch DA, Belin PJ, Gnagy EM, Pelham WE, Greiner AR, Roemmich JN",Journal of abnormal child psychology,"Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1007/s10802-013-9830-0,"Participation in youth sports can be very beneficial, but children with Attention Deficit Hyperactivity Disorder (ADHD) may participate less often and less successfully. The current study evaluated functional sports outcomes for children with ADHD who attended an intensive behavioral treatment program that included a  sports training component, and it compared outcomes to children with ADHD who did not attend the program. Results suggest that treatment resulted in significant improvements in many aspects of children's sports functioning, including knowledge of game rules, in vivo game performance, and fundamental skill tasks (motor proficiency, ability to trap a soccer ball appropriately, reduced handball penalties in soccer, and improved ability to catch a baseball). Parents also reported improved sports skills and good sportsmanship in the treatment group. No differences between groups were evident on additional skill tasks evaluating accurately kicking a soccer ball, throwing a baseball, or hitting a baseball off  a tee. These results suggest intensive behavioral intervention that includes sports training can significantly improve functional sports outcomes for young children with ADHD.",treatment,0.22712238147739802,1
40,"Video game use in boys with autism spectrum disorder, ADHD, or typical development.",2013 Aug,"Mazurek MO, Engelhardt CR",Pediatrics,"Journal Article, Research Support, Non-U.S. Gov't","ADHD, attention-deficit/hyperactivity disorder, autism, autism spectrum disorder, video game, video game addiction",https://doi.org/10.1542/peds.2012-3956,"OBJECTIVES: The study objectives were to examine video game use in boys with autism spectrum disorder (ASD) compared with those with ADHD or typical development (TD) and to examine how specific symptoms and game features relate to problematic video game use across groups. METHODS: Participants included parents  of boys (aged 8-18) with ASD (n = 56), ADHD (n = 44), or TD (n = 41). Questionnaires assessed daily hours of video game use, in-room video game access, video game genres, problematic video game use, ASD symptoms, and ADHD symptoms. RESULTS: Boys with ASD spent more time than did boys with TD playing video games  (2.1 vs 1.2 h/d). Both the ASD and ADHD groups had greater in-room video game access and greater problematic video game use than the TD group. Multivariate models showed that inattentive symptoms predicted problematic game use for both the ASD and ADHD groups; and preferences for role-playing games predicted problematic game use in the ASD group only. CONCLUSIONS: Boys with ASD spend much more time playing video games than do boys with TD, and boys with ASD and ADHD are at greater risk for problematic video game use than are boys with TD. Inattentive symptoms, in particular, were strongly associated with problematic video game use for both groups, and role-playing game preferences may be an additional risk factor for problematic video game use among children with ASD. These findings suggest a need for longitudinal research to better understand predictors and outcomes of video game use in children with ASD and ADHD.",treatment,1.0,1
41,A brain-computer interface based attention training program for treating attention deficit hyperactivity disorder.,2012,"Lim CG, Lee TS, Guan C, Fung DS, Zhao Y, Teng SS, Zhang H, Krishnan KR",PloS one,"Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0046692,"UNLABELLED: Attention deficit hyperactivity disorder (ADHD) symptoms can be difficult to treat. We previously reported that a 20-session brain-computer interface (BCI) attention training programme improved ADHD symptoms. Here, we investigated a new more intensive BCI-based attention training game system on 20  unmedicated ADHD children (16 males, 4 females) with significant inattentive symptoms (combined and inattentive ADHD subtypes). This new system monitored attention through a head band with dry EEG sensors, which was used to drive a feed forward game. The system was calibrated for each user by measuring the EEG parameters during a Stroop task. Treatment consisted of an 8-week training comprising 24 sessions followed by 3 once-monthly booster training sessions. Following intervention, both parent-rated inattentive and hyperactive-impulsive symptoms on the ADHD Rating Scale showed significant improvement. At week 8, the  mean improvement was -4.6 (5.9) and -4.7 (5.6) respectively for inattentive symptoms and hyperactive-impulsive symptoms (both p<0.01). Cohen's d effect size  for inattentive symptoms was large at 0.78 at week 8 and 0.84 at week 24 (post-boosters). Further analysis showed that the change in the EEG based BCI ADHD severity measure correlated with the change ADHD Rating Scale scores. The BCI-based attention training game system is a potential new treatment for ADHD. TRIAL REGISTRATION: ClinicalTrials.gov NCT01344044.",treatment,0.7265711135611908,1
42,Effects of tryptophan depletion on reactive aggression and aggressive decision-making in young people with ADHD.,2013 Aug,"Kotting WF, Bubenzer S, Helmbold K, Eisert A, Gaber TJ, Zepf FD",Acta psychiatrica Scandinavica,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","acute tryptophan depletion, aggression, attention deficit hyperactivity disorder, children, decision-making, empathy, gender, impulsivity, point subtraction aggression game",https://doi.org/10.1111/acps.12001,"OBJECTIVE: The neurotransmitter serotonin (5-HT) has been linked to the underlying biological processes related to aggressive behaviour. However, only a  few studies on this subject involving young people have been published so far. METHOD: We aimed to investigate the effects of acute tryptophan depletion (ATD) on reactive aggression and decision-time for aggressive responses in a sample of  young people with Attention deficit hyperactivity disorder (n = 20), a population at risk for aggressive behaviour. The study design was a double-blind within-subject crossover design. Aggression was assessed using a Point subtraction aggression game (PSAG) with high (HP) and low provocation (LP) trials 2.5 h after the intake of ATD and a tryptophan-balanced control condition. RESULTS: A chi-square comparison was used to identify the effect of ATD on increased aggression after LP. Boys were more likely to respond with an increased aggressive response after HP under ATD as represented by an increased relative risk and odds ratios. Girls had a higher relative risk than boys of an increased  point subtraction under ATD after LP. No significant gender differences in decision-time were detected. CONCLUSION: An effect of ATD on increased aggression was found in the whole sample after LP. Research involving larger samples is needed to confirm the present preliminary findings.",treatment,0.278941565600882,1
